year,fao_code,item,category,production_t,prod_loss_pct,prod_loss_t,postharvest_loss_pct,postharvest_loss_t,farmgate_t,farmgate_low,farmgate_high,retail_supply_t,dist_loss_pct,dist_loss_t,retail_loss_pct,retail_loss_t,retail_t,retail_low,retail_high,total_t
2010,534,Peaches and nectarines,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,8137.34,2.5,203.43,5.8,460.17,663.6,467.0,858.0,663.6
2010,536,Plums and sloes,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,6177.81,2.5,154.45,5.8,349.35,503.8,354.5,651.4,503.8
2010,544,Strawberries,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,15858.98,2.5,396.47,5.8,896.83,1293.3,910.2,1672.4,1293.3
2010,547,Raspberries,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,2424.28,2.5,60.61,5.8,137.09,197.7,139.2,255.7,197.7
2010,552,Blueberries and cranberries,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,0.0,2.5,0.0,5.8,0.0,0.0,0.0,0.0,0.0
2010,560,Grapes,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,25727.77,2.5,643.19,5.8,1454.91,2098.1,1476.5,2713.0,2098.1
2010,567,Watermelons,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,25580.63,2.5,639.52,5.8,1446.58,2086.1,1468.0,2697.4,2086.1
2010,568,Cantaloupes and other melons,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,19881.05,2.5,497.03,5.8,1124.27,1621.3,1141.0,2096.5,1621.3
2010,572,Avocados,Vegetables,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,4478.23,2.5,111.96,5.8,253.24,365.2,257.0,472.2,365.2
2010,574,Pineapples,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,17007.97,2.5,425.2,5.8,961.8,1387.0,976.1,1793.4,1387.0
2010,592,Kiwi fruit,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,2767.63,2.5,69.19,5.8,156.51,225.7,158.9,291.9,225.7
2010,600,Papayas,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,1644.39,2.5,41.11,5.8,92.99,134.1,94.4,173.4,134.1
2011,116,Potatoes,Vegetables,86091.8,14.2,12225.04,8.7,6426.41,18651.4,13279.4,23832.1,331969.34,2.5,8299.23,5.8,18772.87,27072.1,19051.6,35006.0,45723.6
2011,122,Sweet potatoes,Vegetables,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,6833.84,2.5,170.85,5.8,386.45,557.3,392.2,720.7,557.3
2011,358,Cabbages,Vegetables,6640.0,14.2,942.88,8.7,495.65,1438.5,1024.2,1838.1,32413.24,2.5,810.33,5.8,1832.97,2643.3,1860.2,3418.0,4081.8
2011,367,Asparagus,Vegetables,203.0,14.2,28.83,8.7,15.15,44.0,31.3,56.2,3449.42,2.5,86.24,5.8,195.06,281.3,198.0,363.8,325.3
2011,372,Lettuce and chicory,Vegetables,6575.3,14.2,933.69,8.7,490.82,1424.5,1014.2,1820.2,42762.72,2.5,1069.07,5.8,2418.23,3487.3,2454.2,4509.4,4911.9
2011,373,Spinach,Vegetables,655.0,14.2,93.01,8.7,48.89,141.9,101.0,181.3,3302.27,2.5,82.56,5.8,186.74,269.3,189.5,348.2,411.2
2011,388,Tomatoes,Vegetables,66549.7,14.2,9450.06,8.7,4967.67,14417.7,10265.1,18422.4,118936.85,2.5,2973.42,5.8,6725.88,9699.3,6825.7,12541.8,24117.0
2011,393,Cauliflowers and broccoli,Vegetables,2617.0,14.2,371.61,8.7,195.35,567.0,403.7,724.4,17611.28,2.5,440.28,5.8,995.92,1436.2,1010.7,1857.1,2003.2
